0,-1073710017, C0007C3F, C,0,0,0,7, C,3, F 
2,1610644531, 60007C33,6,0,0,0,7, C,3,3
4,1073773606, 40007C26,4,0,0,0,7, C,2,6
6,536902684, 20007C1C,2,0,0,0,7, C,1, C 
8,1073773588, 40007C14,4,0,0,0,7, C,1,4
10,1073773579, 40007C0B,4,0,0,0,7, C,0, B 
12,31747, 00007C03,0,0,0,0,7, C,0,3
14,1610644744, 60007D08,6,0,0,0,7, D,0,8
16,-2147451652, 80007CFC,8,0,0,0,7, C, F, C 
18,-2147451665, 80007CEF,8,0,0,0,7, C, E, F 
20,-536838944, E0007CE0, E,0,0,0,7, C, E,0
22,31955, 00007CD3,0,0,0,0,7, C, D,3
24,536902853, 20007CC5,2,0,0,0,7, C, C,5
26,-536838988, E0007CB4, E,0,0,0,7, C, B,4
28,-2147451626, 80007D16,8,0,0,0,7, D,1,6
30,-536838880, E0007D20, E,0,0,0,7, D,2,0
32,536902954, 20007D2A,2,0,0,0,7, D,2, A 
34,32050, 00007D32,0,0,0,0,7, D,3,2
36,32056, 00007D38,0,0,0,0,7, D,3,8
38,32061, 00007D3D,0,0,0,0,7, D,3, D 
40,536902977, 20007D41,2,0,0,0,7, D,4,1
42,-1610580668, A0007D44, A,0,0,0,7, D,4,4
44,-2147451842, 80007C3E,8,0,0,0,7, C,3, E 
46,-1610580913, A0007C4F, A,0,0,0,7, C,4, F 
48,536902753, 20007C61,2,0,0,0,7, C,6,1
50,1073773681, 40007C71,4,0,0,0,7, C,7,1
52,536902783, 20007C7F,2,0,0,0,7, C,7, F 
54,1610644619, 60007C8B,6,0,0,0,7, C,8, B 
56,-2147451754, 80007C96,8,0,0,0,7, C,9,6
58,1073773540, 40007BE4,4,0,0,0,7, B, E,4
60,-536839201, E0007BDF, E,0,0,0,7, B, D, F 
62,1073773532, 40007BDC,4,0,0,0,7, B, D, C 
64,-2147451942, 80007BDA,8,0,0,0,7, B, D, A 
66,-2147451942, 80007BDA,8,0,0,0,7, B, D, A 
68,-1073710115, C0007BDD, C,0,0,0,7, B, D, D 
70,31715, 00007BE3,0,0,0,0,7, B, E,3
72,-1610580862, A0007C82, A,0,0,0,7, C,8,2
74,-2147451783, 80007C79,8,0,0,0,7, C,7,9
76,1610644592, 60007C70,6,0,0,0,7, C,7,0
78,-536839068, E0007C64, E,0,0,0,7, C,6,4
80,1073773654, 40007C56,4,0,0,0,7, C,5,6
82,31816, 00007C48,0,0,0,0,7, C,4,8
84,-1610580931, A0007C3D, A,0,0,0,7, C,3, D 
86,-1610580942, A0007C32, A,0,0,0,7, C,3,2
88,-1073709761, C0007D3F, C,0,0,0,7, D,3, F 
90,-1610580686, A0007D32, A,0,0,0,7, D,3,2
92,-2147451609, 80007D27,8,0,0,0,7, D,2,7
94,-1610580706, A0007D1E, A,0,0,0,7, D,1, E 
96,32022, 00007D16,0,0,0,0,7, D,1,6
98,-1073709812, C0007D0C, C,0,0,0,7, D,0, C 
100,1610644736, 60007D00,6,0,0,0,7, D,0,0
102,1610644689, 60007CD1,6,0,0,0,7, C, D,1
104,-536838944, E0007CE0, E,0,0,0,7, C, E,0
106,1073773809, 40007CF1,4,0,0,0,7, C, F,1
108,1610644738, 60007D02,6,0,0,0,7, D,0,2
110,32018, 00007D12,0,0,0,0,7, D,1,2
112,-1073709794, C0007D1E, C,0,0,0,7, D,1, E 
114,-2147451608, 80007D28,8,0,0,0,7, D,2,8
116,-1073710085, C0007BFB, C,0,0,0,7, B, F, B 
118,1073773571, 40007C03,4,0,0,0,7, C,0,3
120,31757, 00007C0D,0,0,0,0,7, C,0, D 
122,-2147451880, 80007C18,8,0,0,0,7, C,1,8
124,-1610580958, A0007C22, A,0,0,0,7, C,2,2
126,536902701, 20007C2D,2,0,0,0,7, C,2, D 
128,-2147451845, 80007C3B,8,0,0,0,7, C,3, B 
130,-1073710067, C0007C0D, C,0,0,0,7, C,0, D 
132,-1073710075, C0007C05, C,0,0,0,7, C,0,5
134,1610644478, 60007BFE,6,0,0,0,7, B, F, E 
136,-2147451913, 80007BF7,8,0,0,0,7, B, F,7
138,-1073710097, C0007BEF, C,0,0,0,7, B, E, F 
140,31721, 00007BE9,0,0,0,0,7, B, E,9
142,1610644453, 60007BE5,6,0,0,0,7, B, E,5
144,-2147451693, 80007CD3,8,0,0,0,7, C, D,3
146,1610644675, 60007CC3,6,0,0,0,7, C, C,3
148,536902834, 20007CB2,2,0,0,0,7, C, B,2
150,1610644641, 60007CA1,6,0,0,0,7, C, A,1
152,-536839023, E0007C91, E,0,0,0,7, C,9,1
154,31879, 00007C87,0,0,0,0,7, C,8,7
156,1073773694, 40007C7E,4,0,0,0,7, C,7, E 
158,1610644794, 60007D3A,6,0,0,0,7, D,3, A 
160,32064, 00007D40,0,0,0,0,7, D,4,0
162,-536838844, E0007D44, E,0,0,0,7, D,4,4
164,32073, 00007D49,0,0,0,0,7, D,4,9
166,1610644812, 60007D4C,6,0,0,0,7, D,4, C 
168,-536838836, E0007D4C, E,0,0,0,7, D,4, C 
170,-1073709753, C0007D47, C,0,0,0,7, D,4,7
172,1073773885, 40007D3D,4,0,0,0,7, D,3, D 
174,-2147451773, 80007C83,8,0,0,0,7, C,8,3
176,31887, 00007C8F,0,0,0,0,7, C,8, F 
178,-1610580838, A0007C9A, A,0,0,0,7, C,9, A 
180,-536839001, E0007CA7, E,0,0,0,7, C, A,7
182,-536838987, E0007CB5, E,0,0,0,7, C, B,5
184,-1073709885, C0007CC3, C,0,0,0,7, C, C,3
186,-1073709871, C0007CD1, C,0,0,0,7, C, D,1
188,1073773532, 40007BDC,4,0,0,0,7, B, D, C 
190,31712, 00007BE0,0,0,0,0,7, B, E,0
192,1610644454, 60007BE6,6,0,0,0,7, B, E,6
194,-2147451922, 80007BEE,8,0,0,0,7, B, E, E 
196,536902646, 20007BF6,2,0,0,0,7, B, F,6
198,1073773564, 40007BFC,4,0,0,0,7, B, F, C 
200,-1610580990, A0007C02, A,0,0,0,7, C,0,2
202,-2147451824, 80007C50,8,0,0,0,7, C,5,0
204,-1073710012, C0007C44, C,0,0,0,7, C,4,4
206,-1610580935, A0007C39, A,0,0,0,7, C,3,9
208,-1610580947, A0007C2D, A,0,0,0,7, C,2, D 
210,-536839134, E0007C22, E,0,0,0,7, C,2,2
212,31769, 00007C19,0,0,0,0,7, C,1,9
214,1610644495, 60007C0F,6,0,0,0,7, C,0, F 
216,-1073709796, C0007D1C, C,0,0,0,7, D,1, C 
218,-1073709805, C0007D13, C,0,0,0,7, D,1,3
220,-536838904, E0007D08, E,0,0,0,7, D,0,8
222,1073773819, 40007CFB,4,0,0,0,7, C, F, B 
224,-1610580756, A0007CEC, A,0,0,0,7, C, E, C 
226,-1610580770, A0007CDE, A,0,0,0,7, C, D, E 
228,-536838960, E0007CD0, E,0,0,0,7, C, D,0
230,-536838909, E0007D03, E,0,0,0,7, D,0,3
232,32019, 00007D13,0,0,0,0,7, D,1,3
234,1610644766, 60007D1E,6,0,0,0,7, D,1, E 
236,1610644775, 60007D27,6,0,0,0,7, D,2,7
238,-2147451600, 80007D30,8,0,0,0,7, D,3,0
240,536902968, 20007D38,2,0,0,0,7, D,3,8
242,1073773886, 40007D3E,4,0,0,0,7, D,3, E 
244,1073773597, 40007C1D,4,0,0,0,7, C,1, D 
246,31784, 00007C28,0,0,0,0,7, C,2,8
248,-536839117, E0007C33, E,0,0,0,7, C,3,3
250,-536839101, E0007C43, E,0,0,0,7, C,4,3
252,-1073709993, C0007C57, C,0,0,0,7, C,5,7
254,536902762, 20007C6A,2,0,0,0,7, C,6, A 
256,31865, 00007C79,0,0,0,0,7, C,7,9
258,31877, 00007C85,0,0,0,0,7, C,8,5
260,-1073710098, C0007BEE, C,0,0,0,7, B, E, E 
262,-1610581016, A0007BE8, A,0,0,0,7, B, E,8
264,-1073710108, C0007BE4, C,0,0,0,7, B, E,4
266,1610644446, 60007BDE,6,0,0,0,7, B, D, E 
268,1610644442, 60007BDA,6,0,0,0,7, B, D, A 
270,536902617, 20007BD9,2,0,0,0,7, B, D,9
272,-1073710119, C0007BD9, C,0,0,0,7, B, D,9
274,1073773713, 40007C91,4,0,0,0,7, C,9,1
276,1073773702, 40007C86,4,0,0,0,7, C,8,6
278,536902781, 20007C7D,2,0,0,0,7, C,7, D 
280,1610644597, 60007C75,6,0,0,0,7, C,7,5
282,-536839062, E0007C6A, E,0,0,0,7, C,6, A 
284,-1610580899, A0007C5D, A,0,0,0,7, C,5, D 
286,31826, 00007C52,0,0,0,0,7, C,5,2
288,1073773903, 40007D4F,4,0,0,0,7, D,4, F 
290,1610644812, 60007D4C,6,0,0,0,7, D,4, C 
292,1610644804, 60007D44,6,0,0,0,7, D,4,4
294,1073773881, 40007D39,4,0,0,0,7, D,3,9
296,-536838867, E0007D2D, E,0,0,0,7, D,2, D 
298,536902948, 20007D24,2,0,0,0,7, D,2,4
300,-536838885, E0007D1B, E,0,0,0,7, D,1, B 
302,-536838999, E0007CA9, E,0,0,0,7, C, A,9
304,1073773751, 40007CB7,4,0,0,0,7, C, B,7
306,1610644677, 60007CC5,6,0,0,0,7, C, C,5
308,-2147451693, 80007CD3,8,0,0,0,7, C, D,3
310,31971, 00007CE3,0,0,0,0,7, C, E,3
312,1073773813, 40007CF5,4,0,0,0,7, C, F,5
314,-536838905, E0007D07, E,0,0,0,7, D,0,7
316,-1073710100, C0007BEC, C,0,0,0,7, B, E, C 
318,-1073710092, C0007BF4, C,0,0,0,7, B, F,4
320,31739, 00007BFB,0,0,0,0,7, B, F, B 
322,536902657, 20007C01,2,0,0,0,7, C,0,1
324,-2147451895, 80007C09,8,0,0,0,7, C,0,9
326,1610644500, 60007C14,6,0,0,0,7, C,1,4
328,1073773598, 40007C1E,4,0,0,0,7, C,1, E 
330,1610644524, 60007C2C,6,0,0,0,7, C,2, C 
332,536902688, 20007C20,2,0,0,0,7, C,2,0
334,-1610580970, A0007C16, A,0,0,0,7, C,1,6
336,536902671, 20007C0F,2,0,0,0,7, C,0, F 
338,536902663, 20007C07,2,0,0,0,7, C,0,7
340,1073773566, 40007BFE,4,0,0,0,7, B, F, E 
342,536902646, 20007BF6,2,0,0,0,7, B, F,6
344,-1610580746, A0007CF6, A,0,0,0,7, C, F,6
346,536902888, 20007CE8,2,0,0,0,7, C, E,8
348,-1073709862, C0007CDA, C,0,0,0,7, C, D, A 
350,536902860, 20007CCC,2,0,0,0,7, C, C, C 
352,-1073709892, C0007CBC, C,0,0,0,7, C, B, C 
354,-536838996, E0007CAC, E,0,0,0,7, C, A, C 
356,1610644637, 60007C9D,6,0,0,0,7, C,9, D 
358,-1610580848, A0007C90, A,0,0,0,7, C,9,0
360,1073773872, 40007D30,4,0,0,0,7, D,3,0
362,-2147451593, 80007D37,8,0,0,0,7, D,3,7
364,-2147451588, 80007D3C,8,0,0,0,7, D,3, C 
366,-1073709760, C0007D40, C,0,0,0,7, D,4,0
368,-536838844, E0007D44, E,0,0,0,7, D,4,4
370,-536838841, E0007D47, E,0,0,0,7, D,4,7
372,1073773897, 40007D49,4,0,0,0,7, D,4,9
374,-536839076, E0007C5C, E,0,0,0,7, C,5, C 
376,1610644590, 60007C6E,6,0,0,0,7, C,6, E 
378,-1610580869, A0007C7B, A,0,0,0,7, C,7, B 
380,536902791, 20007C87,2,0,0,0,7, C,8,7
382,536902802, 20007C92,2,0,0,0,7, C,9,2
384,-2147451747, 80007C9D,8,0,0,0,7, C,9, D 
386,31916, 00007CAC,0,0,0,0,7, C, A, C 
388,-536839204, E0007BDC, E,0,0,0,7, B, D, C 
390,-1610581032, A0007BD8, A,0,0,0,7, B, D,8
392,-1610581035, A0007BD5, A,0,0,0,7, B, D,5
394,-2147451944, 80007BD8,8,0,0,0,7, B, D,8
396,-1073710114, C0007BDE, C,0,0,0,7, B, D, E 
398,-1073710108, C0007BE4, C,0,0,0,7, B, E,4
400,536902637, 20007BED,2,0,0,0,7, B, E, D 
402,-1073709970, C0007C6E, C,0,0,0,7, C,6, E 
404,31843, 00007C63,0,0,0,0,7, C,6,3
406,31831, 00007C57,0,0,0,0,7, C,5,7
408,-2147451831, 80007C49,8,0,0,0,7, C,4,9
410,31805, 00007C3D,0,0,0,0,7, C,3, D 
412,1610644531, 60007C33,6,0,0,0,7, C,3,3
414,1610644519, 60007C27,6,0,0,0,7, C,2,7
416,-1073709774, C0007D32, C,0,0,0,7, D,3,2
418,1610644775, 60007D27,6,0,0,0,7, D,2,7
420,1610644766, 60007D1E,6,0,0,0,7, D,1, E 
422,-536838891, E0007D15, E,0,0,0,7, D,1,5
424,536902924, 20007D0C,2,0,0,0,7, D,0, C 
426,32000, 00007D00,0,0,0,0,7, D,0,0
428,-1610580750, A0007CF2, A,0,0,0,7, C, F,2
430,-2147451687, 80007CD9,8,0,0,0,7, C, D,9
432,1073773801, 40007CE9,4,0,0,0,7, C, E,9
434,31994, 00007CFA,0,0,0,0,7, C, F, A 
436,1610644746, 60007D0A,6,0,0,0,7, D,0, A 
438,-2147451625, 80007D17,8,0,0,0,7, D,1,7
440,536902946, 20007D22,2,0,0,0,7, D,2,2
442,-1610580693, A0007D2B, A,0,0,0,7, D,2, B 
444,1073773570, 40007C02,4,0,0,0,7, C,0,2
446,1610644491, 60007C0B,6,0,0,0,7, C,0, B 
448,1073773590, 40007C16,4,0,0,0,7, C,1,6
450,-1073710049, C0007C1F, C,0,0,0,7, C,1, F 
452,1610644522, 60007C2A,6,0,0,0,7, C,2, A 
454,1610644536, 60007C38,6,0,0,0,7, C,3,8
456,-1610580919, A0007C49, A,0,0,0,7, C,4,9
458,536902670, 20007C0E,2,0,0,0,7, C,0, E 
460,31750, 00007C06,0,0,0,0,7, C,0,6
462,-1073710084, C0007BFC, C,0,0,0,7, B, F, C 
464,536902644, 20007BF4,2,0,0,0,7, B, F,4
466,-536839188, E0007BEC, E,0,0,0,7, B, E, C 
468,-1073710105, C0007BE7, C,0,0,0,7, B, E,7
470,536902628, 20007BE4,2,0,0,0,7, B, E,4
472,31713, 00007BE1,0,0,0,0,7, B, E,1
474,1073773750, 40007CB6,4,0,0,0,7, C, B,6
476,-536839003, E0007CA5, E,0,0,0,7, C, A,5
478,536902807, 20007C97,2,0,0,0,7, C,9,7
480,1073773707, 40007C8B,4,0,0,0,7, C,8, B 
482,31874, 00007C82,0,0,0,0,7, C,8,2
484,1610644601, 60007C79,6,0,0,0,7, C,7,9
486,536902768, 20007C70,2,0,0,0,7, C,7,0
488,32068, 00007D44,0,0,0,0,7, D,4,4
490,536902983, 20007D47,2,0,0,0,7, D,4,7
492,1073773897, 40007D49,4,0,0,0,7, D,4,9
494,-1073709751, C0007D49, C,0,0,0,7, D,4,9
496,32070, 00007D46,0,0,0,0,7, D,4,6
498,-2147451588, 80007D3C,8,0,0,0,7, D,3, C 
500,1610644784, 60007D30,6,0,0,0,7, D,3,0
502,-536839032, E0007C88, E,0,0,0,7, C,8,8
504,-1073709934, C0007C92, C,0,0,0,7, C,9,2
506,-2147451745, 80007C9F,8,0,0,0,7, C,9, F 
508,1610644654, 60007CAE,6,0,0,0,7, C, A, E 
510,1610644668, 60007CBC,6,0,0,0,7, C, B, C 
512,-2147451701, 80007CCB,8,0,0,0,7, C, C, B 
514,-1073709863, C0007CD9, C,0,0,0,7, C, D,9
516,1073773535, 40007BDF,4,0,0,0,7, B, D, F 
518,-2147451932, 80007BE4,8,0,0,0,7, B, E,4
520,536902635, 20007BEB,2,0,0,0,7, B, E, B 
522,536902643, 20007BF3,2,0,0,0,7, B, F,3
524,536902650, 20007BFA,2,0,0,0,7, B, F, A 
526,-1610580994, A0007BFE, A,0,0,0,7, B, F, E 
528,1610644485, 60007C05,6,0,0,0,7, C,0,5
530,-536839096, E0007C48, E,0,0,0,7, C,4,8
532,536902718, 20007C3E,2,0,0,0,7, C,3, E 
534,31794, 00007C32,0,0,0,0,7, C,3,2
536,-2147451866, 80007C26,8,0,0,0,7, C,2,6
538,-536839138, E0007C1E, E,0,0,0,7, C,1, E 
540,-2147451882, 80007C16,8,0,0,0,7, C,1,6
542,1073773580, 40007C0C,4,0,0,0,7, C,0, C 
544,1073773572, 40007C04,4,0,0,0,7, C,0,4
546,-1610580726, A0007D0A, A,0,0,0,7, D,0, A 
548,-2147451651, 80007CFD,8,0,0,0,7, C, F, D 
550,-536838930, E0007CEE, E,0,0,0,7, C, E, E 
552,536902881, 20007CE1,2,0,0,0,7, C, E,1
554,-536838957, E0007CD3, E,0,0,0,7, C, D,3
556,-2147451708, 80007CC4,8,0,0,0,7, C, C,4
558,-2147451725, 80007CB3,8,0,0,0,7, C, B,3
560,-1073709800, C0007D18, C,0,0,0,7, D,1,8
562,536902946, 20007D22,2,0,0,0,7, D,2,2
564,1073773867, 40007D2B,4,0,0,0,7, D,2, B 
566,-536838862, E0007D32, E,0,0,0,7, D,3,2
568,32057, 00007D39,0,0,0,0,7, D,3,9
570,536902975, 20007D3F,2,0,0,0,7, D,3, F 
572,-2147451581, 80007D43,8,0,0,0,7, D,4,3
574,31794, 00007C32,0,0,0,0,7, C,3,2
576,-1073710015, C0007C41, C,0,0,0,7, C,4,1
578,-2147451822, 80007C52,8,0,0,0,7, C,5,2
580,31845, 00007C65,0,0,0,0,7, C,6,5
582,-2147451787, 80007C75,8,0,0,0,7, C,7,5
584,-536839038, E0007C82, E,0,0,0,7, C,8,2
586,1073773710, 40007C8E,4,0,0,0,7, C,8, E 
588,-1073710101, C0007BEB, C,0,0,0,7, B, E, B 
590,-1073710106, C0007BE6, C,0,0,0,7, B, E,6
592,31715, 00007BE3,0,0,0,0,7, B, E,3
594,1610644447, 60007BDF,6,0,0,0,7, B, D, F 
596,536902620, 20007BDC,2,0,0,0,7, B, D, C 
598,-2147451941, 80007BDB,8,0,0,0,7, B, D, B 
600,1610644447, 60007BDF,6,0,0,0,7, B, D, F 
602,-2147451770, 80007C86,8,0,0,0,7, C,8,6
604,1610644605, 60007C7D,6,0,0,0,7, C,7, D 
606,-1610580876, A0007C74, A,0,0,0,7, C,7,4
608,31851, 00007C6B,0,0,0,0,7, C,6, B 
610,-2147451809, 80007C5F,8,0,0,0,7, C,5, F 
612,-2147451822, 80007C52,8,0,0,0,7, C,5,2
614,31814, 00007C46,0,0,0,0,7, C,4,6
616,536902987, 20007D4B,2,0,0,0,7, D,4, B 
618,1073773892, 40007D44,4,0,0,0,7, D,4,4
620,536902969, 20007D39,2,0,0,0,7, D,3,9
622,-2147451603, 80007D2D,8,0,0,0,7, D,2, D 
624,1073773859, 40007D23,4,0,0,0,7, D,2,3
626,32027, 00007D1B,0,0,0,0,7, D,1, B 
628,1610644754, 60007D12,6,0,0,0,7, D,1,2
630,-2147451641, 80007D07,8,0,0,0,7, D,0,7
632,31942, 00007CC6,0,0,0,0,7, C, C,6
634,536902867, 20007CD3,2,0,0,0,7, C, D,3
636,536902881, 20007CE1,2,0,0,0,7, C, E,1
638,1610644723, 60007CF3,6,0,0,0,7, C, F,3
640,1073773830, 40007D06,4,0,0,0,7, D,0,6
642,-1073709803, C0007D15, C,0,0,0,7, D,1,5
644,1073773857, 40007D21,4,0,0,0,7, D,2,1
646,1610644473, 60007BF9,6,0,0,0,7, B, F,9
648,-536839169, E0007BFF, E,0,0,0,7, B, F, F 
650,-1610580985, A0007C07, A,0,0,0,7, C,0,7
652,536902674, 20007C12,2,0,0,0,7, C,1,2
654,-2147451876, 80007C1C,8,0,0,0,7, C,1, C 
656,536902694, 20007C26,2,0,0,0,7, C,2,6
658,536902706, 20007C32,2,0,0,0,7, C,3,2
660,-1073710056, C0007C18, C,0,0,0,7, C,1,8
662,31760, 00007C10,0,0,0,0,7, C,1,0
664,31751, 00007C07,0,0,0,0,7, C,0,7
666,536902654, 20007BFE,2,0,0,0,7, B, F, E 
668,31734, 00007BF6,0,0,0,0,7, B, F,6
670,-1073710097, C0007BEF, C,0,0,0,7, B, E, F 
672,-2147451927, 80007BE9,8,0,0,0,7, B, E,9
674,31965, 00007CDD,0,0,0,0,7, C, D, D 
676,31952, 00007CD0,0,0,0,0,7, C, D,0
678,1610644671, 60007CBF,6,0,0,0,7, C, B, F 
